youssef,01118680688,aya1,sheren,Mariem,CMP_LAB4,01118809880,WE_41B884,El-modarag,STUDBME2,Avaya,C_H_S_4,C_H_S_2,AndroidAP3AA9,AG,Gamil,ATHAR,STUDBME1,Orange-,Dlink,01146880660,01141472186,CMP_LAB3,CMP_LAB1,CMP_LAB2,C_H_S,C_H_S_3,location
-66,-91,-88,-56,-89,-100,-88,-73,-75,-77,-100,-81,-81,-34,-83,-80,-91,-69,-100,-88,-91,-100,-100,-100,-100,-100,-100,HW 23
-70,-85,-72,-56,-81,-76,-86,-73,-69,-76,-100,-100,-87,-36,-100,-100,-100,-79,-100,-88,-82,-78,-100,-100,-100,-100,-100,HW 23
-68,-87,-100,-56,-100,-100,-84,-76,-71,-71,-100,-100,-100,-62,-81,-100,-90,-100,-100,-100,-86,-100,-76,-100,-78,-80,-100,HW 23
-74,-89,-85,-53,-81,-87,-88,-73,-69,-77,-100,-100,-100,-36,-100,-77,-100,-100,-100,-100,-83,-100,-100,-100,-100,-82,-100,HW 23
-57,-93,-79,-58,-82,-100,-87,-76,-64,-80,-100,-100,-83,-40,-100,-76,-100,-74,-100,-100,-91,-100,-100,-100,-100,-100,-85,HW 23
-64,-83,-74,-49,-100,-100,-84,-89,-71,-82,-88,-100,-100,-40,-100,-82,-100,-72,-100,-100,-86,-100,-79,-100,-79,-100,-100,HW 23
-57,-83,-81,-50,-79,-85,-85,-74,-69,-81,-80,-100,-100,-39,-100,-80,-100,-100,-100,-85,-94,-88,-85,-100,-100,-79,-100,HW 23
-60,-88,-77,-62,-100,-100,-86,-81,-100,-78,-80,-79,-100,-100,-100,-81,-100,-72,-100,-100,-87,-88,-100,-80,-83,-100,-79,HW 23
-66,-86,-100,-45,-80,-100,-91,-69,-62,-77,-88,-74,-100,-39,-100,-74,-100,-71,-100,-88,-91,-95,-100,-100,-100,-100,-100,HW 23
-66,-88,-71,-49,-75,-78,-83,-100,-68,-100,-100,-100,-80,-35,-100,-100,-100,-71,-100,-88,-87,-83,-100,-100,-100,-79,-100,HW 23
-72,-88,-70,-47,-74,-100,-100,-78,-59,-86,-100,-100,-100,-40,-100,-80,-100,-68,-100,-92,-91,-91,-100,-83,-100,-100,-100,HW 23
