WE_41B884,STUDBME2,01141472186,01146880660,01118809880,youssef,STUDBME1,aya1,Mariem,ARC3,01118680688,C_H_S_4,AndroidAP3AA9,Dlink,TP-LINK_AP_7094,sheren,CMP_LAB4,Pcg,El-modarag,TP-Link_463C,AG,IE_Lab,CMP_LAB3,khodair,C_H_S,DIRECT-00-HP M130f LaserJet,HP-Print-47-LaserJet Pro MFP,C_H_S_2,location
-64,-64,-100,-82,-83,-78,-63,-71,-67,-100,-81,-82,-41,-87,-100,-67,-100,-100,-100,-100,-71,-100,-79,-100,-100,-100,-100,-100,HW 21
-62,-63,-100,-100,-82,-77,-60,-69,-72,-100,-84,-100,-43,-87,-100,-72,-82,-100,-69,-100,-75,-100,-82,-100,-100,-100,-100,-79,HW 21
-71,-63,-82,-100,-83,-77,-66,-71,-72,-79,-82,-100,-45,-91,-100,-71,-100,-100,-77,-100,-66,-100,-100,-100,-100,-100,-100,-77,HW 21
-65,-63,-100,-82,-82,-78,-68,-68,-78,-77,-84,-75,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-100,-100,-100,HW 21
-68,-65,-85,-86,-100,-100,-60,-66,-72,-80,-78,-100,-44,-100,-100,-73,-100,-100,-75,-100,-70,-100,-100,-100,-72,-100,-100,-72,HW 21
-65,-62,-88,-93,-84,-78,-58,-70,-69,-85,-87,-81,-40,-87,-100,-69,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-67,-63,-100,-100,-100,-83,-64,-64,-72,-100,-100,-74,-47,-89,-100,-100,-74,-100,-100,-100,-74,-100,-73,-100,-76,-100,-100,-73,HW 21
-62,-65,-100,-100,-100,-100,-64,-64,-100,-100,-85,-100,-46,-83,-100,-70,-100,-100,-74,-100,-67,-100,-74,-100,-100,-100,-100,-73,HW 21
-62,-67,-100,-100,-100,-81,-65,-65,-100,-75,-100,-100,-45,-89,-100,-100,-100,-100,-100,-100,-65,-100,-67,-100,-76,-100,-100,-100,HW 21
-60,-64,-88,-100,-100,-88,-69,-62,-74,-80,-100,-75,-44,-89,-100,-70,-71,-100,-77,-100,-69,-100,-100,-100,-76,-100,-100,-75,HW 21
-70,-68,-88,-90,-90,-86,-63,-66,-78,-78,-86,-79,-41,-90,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-67,-67,-85,-85,-83,-91,-56,-71,-70,-100,-100,-76,-31,-82,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-77,-100,-100,-76,HW 21
-64,-63,-100,-100,-90,-82,-63,-70,-70,-100,-87,-100,-43,-82,-100,-73,-100,-100,-75,-100,-67,-100,-100,-100,-100,-100,-100,-80,HW 21
-67,-69,-77,-100,-82,-100,-60,-100,-75,-78,-80,-77,-47,-82,-100,-67,-100,-100,-75,-100,-100,-100,-100,-100,-80,-100,-100,-100,HW 21
-57,-62,-83,-80,-100,-78,-52,-67,-65,-76,-100,-100,-41,-80,-100,-100,-79,-100,-71,-100,-74,-100,-100,-100,-79,-100,-100,-82,HW 21
-57,-68,-83,-100,-100,-100,-55,-67,-59,-100,-80,-78,-40,-85,-100,-71,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 21
-70,-63,-100,-83,-83,-84,-100,-61,-78,-84,-86,-100,-33,-88,-100,-68,-100,-100,-100,-100,-72,-100,-79,-100,-73,-100,-100,-100,HW 21
-63,-65,-100,-100,-100,-80,-62,-71,-69,-77,-79,-100,-39,-100,-100,-69,-76,-100,-75,-100,-72,-100,-100,-100,-75,-100,-100,-74,HW 21
-68,-76,-83,-85,-89,-100,-59,-70,-100,-100,-89,-71,-59,-84,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,HW 21
-62,-70,-100,-88,-100,-81,-59,-73,-67,-83,-90,-100,-45,-80,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-74,-100,-100,-75,HW 21
