WE_41B884,STUDBME2,Alaa1,RehabLab,STUDBME1,CMP_LAB4,Mariem,CMP_LAB1,C_H_S,C_H_S_2,node,AndroidAP3AA9,AG,01146880660,OPPO F9,Dlink,C_H_S_3,Gamil,01118809880,youssef,Alariny,El-lab,CMP_LAB3,Farouk,CUFE,C_H_S_4,IE_Lab,01141472186,01118680688,CMP_LAB2,Alaa,location
-44,-49,-75,-84,-57,-57,-100,-100,-61,-61,-83,-56,-61,-100,-73,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-57,-70,HW 31
-46,-49,-77,-100,-65,-57,-70,-100,-67,-66,-100,-59,-55,-93,-79,-100,-66,-100,-100,-100,-72,-70,-54,-75,-100,-67,-100,-100,-100,-100,-100,HW 31
-45,-48,-78,-100,-63,-100,-71,-100,-100,-100,-100,-57,-61,-100,-72,-100,-100,-100,-100,-91,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,HW 31
-51,-52,-84,-84,-46,-100,-70,-100,-69,-67,-100,-48,-59,-100,-81,-100,-100,-87,-100,-100,-68,-70,-100,-100,-100,-68,-100,-100,-100,-100,-69,HW 31
-42,-49,-75,-100,-51,-68,-68,-100,-100,-100,-100,-55,-61,-100,-77,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,HW 31
-48,-44,-79,-73,-54,-57,-69,-58,-64,-67,-79,-47,-65,-100,-77,-100,-100,-84,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
-53,-50,-83,-80,-54,-100,-67,-100,-100,-100,-100,-49,-61,-100,-77,-100,-100,-100,-100,-100,-67,-72,-55,-72,-100,-100,-100,-100,-100,-55,-100,HW 31
-48,-47,-81,-84,-52,-100,-65,-100,-64,-65,-100,-51,-51,-100,-76,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
-48,-50,-69,-100,-100,-100,-65,-100,-66,-100,-81,-53,-52,-100,-100,-100,-66,-100,-100,-100,-71,-70,-52,-74,-100,-66,-100,-100,-100,-100,-100,HW 31
-46,-50,-80,-81,-54,-100,-78,-100,-100,-67,-100,-50,-62,-100,-76,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
-48,-49,-89,-83,-47,-68,-75,-100,-66,-64,-100,-42,-51,-100,-88,-85,-66,-100,-100,-84,-75,-85,-100,-68,-100,-65,-100,-100,-100,-100,-100,HW 31
-52,-48,-79,-100,-55,-100,-69,-62,-63,-62,-100,-49,-62,-100,-81,-87,-62,-100,-100,-83,-100,-83,-100,-69,-100,-60,-100,-100,-100,-63,-100,HW 31
-48,-49,-78,-100,-56,-60,-68,-100,-62,-61,-100,-45,-62,-94,-76,-100,-63,-100,-100,-100,-68,-75,-58,-100,-71,-62,-100,-100,-91,-100,-100,HW 31
-49,-53,-81,-100,-50,-57,-70,-100,-100,-70,-100,-42,-67,-100,-76,-87,-69,-88,-100,-79,-100,-100,-100,-66,-100,-100,-100,-100,-100,-59,-100,HW 31
-52,-52,-100,-80,-47,-100,-69,-100,-69,-67,-85,-45,-52,-100,-79,-100,-100,-86,-100,-85,-69,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
-44,-49,-79,-100,-51,-100,-68,-100,-100,-100,-100,-44,-55,-100,-73,-85,-68,-100,-100,-89,-100,-100,-100,-100,-100,-65,-100,-100,-91,-64,-75,HW 31
-43,-48,-78,-85,-52,-100,-73,-100,-71,-100,-77,-57,-57,-100,-76,-100,-100,-100,-100,-85,-100,-73,-57,-100,-100,-100,-100,-100,-100,-59,-100,HW 31
-47,-47,-78,-100,-50,-100,-71,-100,-100,-100,-100,-51,-54,-100,-72,-85,-71,-100,-100,-82,-100,-100,-63,-68,-72,-72,-100,-100,-100,-63,-100,HW 31
-52,-48,-81,-100,-49,-64,-70,-100,-69,-67,-100,-46,-63,-100,-77,-100,-100,-100,-100,-90,-70,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
-50,-46,-84,-100,-56,-100,-63,-100,-65,-66,-89,-56,-62,-100,-79,-86,-64,-100,-100,-87,-100,-100,-100,-100,-100,-66,-100,-90,-92,-59,-100,HW 31
-50,-49,-84,-100,-53,-100,-71,-100,-69,-69,-100,-45,-57,-100,-78,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,HW 31
-54,-53,-86,-100,-100,-100,-73,-64,-100,-100,-81,-45,-64,-93,-77,-100,-100,-100,-100,-100,-65,-100,-100,-77,-75,-72,-100,-100,-100,-100,-100,HW 31
-47,-45,-87,-100,-59,-100,-72,-59,-100,-100,-79,-51,-52,-100,-77,-100,-68,-83,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
