WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,location
-65,-100.0,-70,-100,-100.0,-43.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,5
-83,-73.0,-73,-100,-77.0,-72.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-51,-100.0,-57,-100,-100.0,-69.0,-100.0,-49.0,-100.0,-100.0,-47.0,-100.0,-100.0,-71.0,-56.0,-100.0,-100.0,-100.0,-100.0,11
-68,-77.0,-70,-76,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-47,-82.0,-47,-63,-100.0,-50.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-64,-100.0,-56,-100,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-61,-100.0,-57,-48,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-59,-100.0,-54,-100,-100.0,-100.0,-43.0,-100.0,-100.0,-100.0,-43.0,-100.0,-100.0,-67.0,-65.0,-100.0,-100.0,-100.0,-100.0,11
-41,-100.0,-39,-100,-100.0,-48.0,-100.0,-57.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-52,-100.0,-51,-57,-100.0,-63.0,-100.0,-55.0,-100.0,-100.0,-100.0,-67.0,-100.0,-63.0,-65.0,-100.0,-100.0,-100.0,-100.0,10
-73,-74.0,-77,-100,-69.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,8
-64,-100.0,-55,-100,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-75,-62.0,-78,-76,-71.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,8
-70,-100.0,-68,-71,-66.0,-44.0,-100.0,-100.0,-57.0,-72.0,-100.0,-100.0,-100.0,-100.0,-91.0,-63.0,-100.0,-94.0,-74.0,5
-68,-71.0,-68,-75,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-55,-100.0,-40,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-49,-91.0,-48,-61,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,9
-73,-75.0,-75,-100,-69.0,-73.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-52,-100.0,-45,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-67,-90.0,-77,-100,-100.0,-39.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,5
-54,-88.0,-53,-65,-100.0,-54.0,-67.0,-66.0,-100.0,-88.0,-66.0,-100.0,-100.0,-79.0,-100.0,-80.0,-100.0,-100.0,-100.0,5
-76,-83.0,-81,-85,-82.0,-75.0,-84.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-50,-73.0,-57,-100,-100.0,-50.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-55,-100.0,-52,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-49.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-78,-94.0,-81,-100,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-100.0,-100.0,6
-56,-100.0,-48,-100,-100.0,-67.0,-46.0,-45.0,-100.0,-100.0,-46.0,-100.0,-74.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-46,-100.0,-50,-100,-100.0,-55.0,-100.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,9
-55,-84.0,-63,-100,-63.0,-42.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,5
-55,-100.0,-51,-35,-100.0,-100.0,-40.0,-35.0,-100.0,-100.0,-36.0,-100.0,-100.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-60,-100.0,-52,-100,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-72,-86.0,-67,-77,-67.0,-45.0,-69.0,-70.0,-58.0,-100.0,-68.0,-100.0,-100.0,-82.0,-100.0,-72.0,-100.0,-100.0,-100.0,5
-61,-100.0,-55,-69,-68.0,-50.0,-69.0,-100.0,-69.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-73,-70.0,-76,-100,-69.0,-79.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-54,-100.0,-53,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-61,-100.0,-48,-49,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-58.0,-100.0,-100.0,-100.0,-100.0,11
-62,-100.0,-48,-100,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-68.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-72,-69.0,-71,-100,-70.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-75,-70.0,-79,-100,-71.0,-77.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,8
-52,-90.0,-48,-100,-100.0,-49.0,-64.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-42,-100.0,-46,-100,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-52.0,-73.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-57,-100.0,-56,-46,-100.0,-100.0,-100.0,-45.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-59,-81.0,-57,-100,-68.0,-53.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-51,-100.0,-49,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-69,-100.0,-56,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-68,-100.0,-54,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-47.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-56,-100.0,-56,-100,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-75,-79.0,-71,-100,-79.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-55,-100.0,-53,-100,-100.0,-100.0,-100.0,-52.0,-100.0,-100.0,-53.0,-66.0,-70.0,-63.0,-72.0,-100.0,-100.0,-100.0,-100.0,10
-75,-71.0,-74,-83,-69.0,-66.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,8
-44,-100.0,-49,-100,-100.0,-57.0,-57.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,9
-53,-100.0,-54,-100,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-55.0,-58.0,-100.0,-100.0,-100.0,-100.0,11
-71,-85.0,-71,-72,-69.0,-41.0,-100.0,-100.0,-65.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5
-60,-72.0,-59,-100,-100.0,-55.0,-71.0,-67.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-46,-100.0,-49,-100,-100.0,-66.0,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-40,-100.0,-48,-69,-100.0,-47.0,-64.0,-71.0,-100.0,-100.0,-67.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-66,-82.0,-67,-100,-73.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-65,-94.0,-64,-100,-69.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,5
-69,-77.0,-74,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,8
-68,-100.0,-58,-100,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-48.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-67,-93.0,-62,-100,-100.0,-48.0,-100.0,-72.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,5
-72,-100.0,-54,-68,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-68.0,-54.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-56,-100.0,-48,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-74.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-82,-86.0,-80,-80,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-76,-83.0,-76,-100,-90.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-63,-100.0,-54,-100,-100.0,-69.0,-100.0,-45.0,-100.0,-100.0,-43.0,-100.0,-77.0,-51.0,-70.0,-100.0,-100.0,-100.0,-100.0,11
-68,-100.0,-65,-100,-75.0,-60.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-42,-100.0,-45,-56,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-59,-83.0,-57,-100,-100.0,-41.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,5
-49,-100.0,-50,-100,-100.0,-52.0,-62.0,-61.0,-100.0,-100.0,-61.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-67,-100.0,-55,-70,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-60.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-58,-100.0,-55,-46,-100.0,-74.0,-100.0,-42.0,-100.0,-100.0,-42.0,-100.0,-100.0,-57.0,-60.0,-100.0,-100.0,-100.0,-100.0,11
-62,-85.0,-65,-100,-100.0,-70.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,6
